iter	Logloss
0	0.4837287971
1	0.3469263038
2	0.2565927752
3	0.1952252506
4	0.1529869091
5	0.1205298165
6	0.09815398072
7	0.08252557929
8	0.07111479116
9	0.06278974611
10	0.05623390719
11	0.05144944987
12	0.04791068394
13	0.04541646249
14	0.04340387189
15	0.04179978335
16	0.04040744758
17	0.03916525066
18	0.03823136978
19	0.03748691939
20	0.03687176829
21	0.03634725505
22	0.03622043438
23	0.03580142775
24	0.03550574048
25	0.03536808295
26	0.03508686459
27	0.0348268858
28	0.03468902175
29	0.03449567217
30	0.03440484873
31	0.03412234955
32	0.03402563396
33	0.03389799933
34	0.03368783196
35	0.03359307903
36	0.03348318971
37	0.03330867277
38	0.03313625096
39	0.03299521246
40	0.03285142913
41	0.03269535428
42	0.03252639194
43	0.03243884153
44	0.03235285005
45	0.03228750839
46	0.03209884901
47	0.03200114985
48	0.03186761335
49	0.03175766868
50	0.03166219257
51	0.03155779292
52	0.03146584949
53	0.03138178835
54	0.03126741361
55	0.03112840017
56	0.03102257007
57	0.03094461484
58	0.03084946116
59	0.03069943325
60	0.03058243503
61	0.0304923725
62	0.0303633388
63	0.03021695902
64	0.03012831084
65	0.03005333669
66	0.02996992497
67	0.02988587108
68	0.02979597295
69	0.02969845216
70	0.02963704889
71	0.02954000016
72	0.02947214068
73	0.0293959732
74	0.02930601371
75	0.02918467747
76	0.02907291816
77	0.02896821889
78	0.02888711606
79	0.02879697423
80	0.02872448751
81	0.02862330239
82	0.02852650904
83	0.02844799646
84	0.02839778333
85	0.02830882643
86	0.02821904646
87	0.0281394349
88	0.02802895563
89	0.02795645748
90	0.02787851832
91	0.0278342912
92	0.02776233819
93	0.02765849901
94	0.02755625388
95	0.02747046536
96	0.02740056771
97	0.02735718778
98	0.02725466476
99	0.02711787683
100	0.02700511785
101	0.02694565384
102	0.0268661655
103	0.02676854728
104	0.02667651918
105	0.02659953909
106	0.02652619462
107	0.02643159487
108	0.02636549145
109	0.02626444078
110	0.02620418676
111	0.02614747623
112	0.02610126348
113	0.02603051042
114	0.02597963862
115	0.02592603226
116	0.02581239209
117	0.02573717143
118	0.02568107098
119	0.02558966026
120	0.02551864674
121	0.0254664017
122	0.02540693474
123	0.02530804111
124	0.0251964165
125	0.02513439813
126	0.02504904634
127	0.02497926175
128	0.0249318333
129	0.02488684376
130	0.02483768185
131	0.02477306475
132	0.02469153669
133	0.02463191271
134	0.02454260798
135	0.02444788662
136	0.0244015677
137	0.0243481455
138	0.02428345569
139	0.024231849
140	0.02418076061
141	0.0241195547
142	0.02405623002
143	0.02401866349
144	0.02394094567
145	0.0238931511
146	0.02383650155
147	0.02378891355
148	0.02374878806
149	0.02368638196
