iter	Passed	Remaining
402	10266	10113
403	10290	10086
404	10314	10059
405	10340	10035
406	10365	10008
407	10388	9981
408	10412	9954
409	10436	9927
410	10461	9901
411	10484	9873
412	10509	9847
413	10533	9821
414	10557	9794
415	10583	9769
416	10609	9744
417	10632	9716
418	10655	9689
419	10680	9663
420	10705	9637
421	10729	9610
422	10753	9584
423	10777	9557
424	10803	9532
425	10827	9505
426	10851	9478
427	10875	9452
428	10901	9427
429	10927	9402
430	10953	9377
431	10977	9351
432	11003	9326
433	11029	9301
434	11053	9275
435	11078	9249
436	11103	9223
437	11127	9197
438	11152	9171
439	11177	9145
440	11200	9117
441	11224	9091
442	11250	9066
443	11273	9039
444	11296	9012
445	11322	8986
446	11348	8961
447	11373	8936
448	11398	8910
449	11422	8884
450	11448	8859
451	11473	8833
452	11497	8807
453	11522	8781
454	11546	8754
455	11571	8729
456	11594	8702
457	11619	8676
458	11645	8651
459	11668	8624
460	11691	8597
461	11715	8571
462	11739	8544
463	11764	8518
464	11787	8492
465	11811	8465
466	11836	8439
467	11860	8413
468	11886	8388
469	11911	8363
470	11936	8337
471	11961	8312
472	11985	8286
473	12009	8259
474	12035	8234
475	12059	8208
476	12084	8183
477	12109	8157
478	12132	8130
479	12157	8105
480	12184	8080
481	12210	8055
482	12233	8029
483	12257	8002
484	12281	7976
485	12305	7950
486	12330	7924
487	12355	7899
488	12380	7874
489	12404	7848
490	12428	7821
491	12453	7796
492	12478	7770
493	12502	7744
494	12525	7717
495	12550	7691
496	12575	7666
497	12601	7641
498	12624	7614
499	12649	7589
500	12674	7564
501	12698	7538
502	12722	7512
503	12746	7486
504	12771	7460
505	12796	7435
506	12820	7408
507	12844	7383
508	12867	7356
509	12892	7331
510	12926	7310
511	12967	7294
512	13008	7277
513	13049	7260
514	13081	7239
515	13106	7213
516	13133	7189
517	13158	7163
518	13182	7137
519	13207	7111
520	13230	7084
521	13254	7058
522	13277	7032
523	13303	7007
524	13328	6981
525	13351	6955
526	13376	6929
527	13401	6903
528	13425	6877
529	13448	6851
530	13473	6825
531	13496	6799
532	13520	6773
533	13544	6747
534	13570	6721
535	13594	6695
536	13618	6669
537	13643	6644
538	13668	6618
539	13694	6593
540	13719	6568
541	13745	6542
542	13769	6517
543	13793	6491
544	13820	6466
545	13844	6440
546	13871	6415
547	13895	6389
548	13919	6364
549	13943	6337
550	13967	6312
551	13992	6286
552	14016	6260
553	14041	6234
554	14066	6209
555	14092	6184
556	14116	6158
557	14140	6132
558	14165	6107
559	14189	6081
560	14213	6055
561	14252	6035
562	14294	6017
563	14334	5998
564	14367	5976
565	14394	5951
566	14419	5925
567	14443	5899
568	14467	5873
569	14491	5847
570	14515	5821
571	14540	5795
572	14563	5769
573	14588	5744
574	14612	5718
575	14636	5691
576	14662	5666
577	14686	5641
578	14712	5615
579	14736	5589
580	14760	5563
581	14784	5537
582	14807	5511
583	14832	5485
584	14857	5460
585	14881	5434
586	14905	5408
587	14930	5382
588	14954	5357
589	14979	5331
590	15004	5306
591	15031	5281
592	15055	5255
593	15081	5230
594	15104	5204
595	15129	5178
596	15154	5153
597	15180	5127
598	15204	5101
599	15229	5076
600	15252	5050
601	15277	5024
602	15301	4999
603	15326	4973
604	15349	4947
605	15373	4921
606	15398	4896
607	15423	4870
608	15446	4844
609	15464	4816
610	15482	4789
611	15506	4763
612	15530	4737
613	15556	4712
614	15595	4691
615	15628	4668
616	15659	4644
617	15685	4619
618	15710	4593
619	15734	4568
620	15758	4542
621	15777	4515
622	15800	4488
623	15820	4462
624	15845	4436
625	15864	4409
626	15882	4382
627	15901	4355
628	15927	4330
629	15947	4303
630	15970	4277
631	15989	4250
632	16014	4224
633	16033	4197
634	16052	4171
635	16071	4144
636	16090	4117
637	16109	4090
638	16128	4063
639	16146	4036
640	16166	4009
641	16185	3983
642	16204	3956
643	16223	3929
644	16242	3903
645	16262	3876
646	16281	3850
647	16301	3823
648	16320	3797
649	16339	3770
650	16358	3744
651	16378	3717
652	16398	3691
653	16417	3664
654	16436	3638
655	16455	3612
656	16474	3585
657	16493	3559
658	16512	3533
659	16531	3506
660	16551	3480
661	16570	3454
662	16590	3428
663	16610	3402
664	16629	3375
665	16649	3349
666	16669	3323
667	16689	3297
668	16707	3271
669	16726	3245
670	16746	3219
671	16765	3193
672	16784	3167
673	16803	3141
674	16822	3115
675	16841	3089
676	16859	3063
677	16879	3037
678	16898	3011
679	16918	2985
680	16939	2960
681	16962	2934
682	16983	2909
683	17002	2883
684	17021	2857
685	17039	2831
686	17059	2805
687	17078	2780
688	17096	2754
689	17114	2728
690	17132	2702
691	17150	2676
692	17169	2651
693	17188	2625
694	17207	2599
695	17226	2574
696	17245	2548
697	17263	2522
698	17282	2497
699	17300	2471
700	17319	2445
701	17337	2420
702	17356	2394
703	17375	2369
704	17394	2343
705	17412	2318
706	17431	2292
707	17449	2267
708	17467	2242
709	17486	2216
710	17505	2191
711	17524	2165
712	17542	2140
713	17560	2115
714	17580	2089
715	17598	2064
716	17617	2039
717	17636	2014
718	17656	1989
719	17676	1964
720	17702	1939
721	17722	1914
722	17741	1889
723	17760	1864
724	17780	1839
725	17798	1814
726	17817	1789
727	17837	1764
728	17855	1739
729	17875	1714
730	17894	1689
731	17912	1664
732	17931	1639
733	17951	1614
734	17970	1589
735	17989	1564
736	18007	1539
737	18026	1514
738	18045	1489
739	18063	1464
740	18082	1439
741	18100	1414
742	18118	1390
743	18137	1365
744	18156	1340
745	18174	1315
746	18194	1290
747	18213	1266
748	18232	1241
749	18250	1216
750	18268	1191
751	18287	1167
752	18307	1142
753	18328	1118
754	18347	1093
755	18366	1068
756	18384	1044
757	18404	1019
758	18422	995
